"实验","逻辑信号","Veh_1模型接口名称","接口角色","映射状态","备注"
"6","实时SOC","Veh_1.ToVCU.powerCAN_out.SoftBMSDataToBus.BMS_HVBusVolt_Curr.BMS_SOC_ToBus","Veh_1输出","已确认",""
"6","实时车速","Veh_1.PlantModel.PlantModel.Vehicle1.Vehspeed ","Veh_1输出","已确认",""
"6","BMS瞬时电流","Veh_1.ToVCU.powerCAN_out.SoftBMSDataToBus.BMS_HVBusVolt_Curr.BMS_HVBusCurr_ToBus","Veh_1输出","已确认",""
"6","MCU瞬时电流","Veh_1.ToVCU.powerCAN_out.SoftMCUDataToBus.MC_motor_Torque_AND_speed.MC_busbar_current_ToBus","Veh_1输出","已确认",""
"6","VCU预测百公里电耗","","VCU算法输出","未暴露","当前Veh_1目录无对应接口"
"6","整车真实百公里电耗","","派生量","未暴露","由高压电压电流车速积分计算"
"7","实时SOC","Veh_1.ToVCU.powerCAN_out.SoftBMSDataToBus.BMS_HVBusVolt_Curr.BMS_SOC_ToBus","Veh_1输出","已确认",""
"7","VCU预测剩余续航","","VCU算法输出","未暴露","当前Veh_1目录无对应接口"
"7","理论真实可行驶里程","","派生量","未暴露","需由可用能量和能耗模型计算"
"8","钥匙ON/OFF","Veh_1.Driver.Key","Veh_1输入","已确认",""
"8","刹车逻辑输入","Veh_1.Driver.BrakePedal_perc","Veh_1输入","已确认","不是具体DIO针脚"
"8","VCU模式","Veh_1.FromVCU.CAN.VCU_Body.GW_VCU_2.VCU_ModeReq","Veh_1输入","候选","需确认枚举"
"8","BMS目标状态","Veh_1.FromVCU.CAN.VCU_Power.VCU_BMS_Ctrl.VCU_BMS_target_state","Veh_1输入","已确认",""
"8","充电继电器控制","Veh_1.FromVCU.CAN.VCU_Power.VCU_BMS_Ctrl.VCU_charge_relay_control","Veh_1输入","已确认",""
"8","放电继电器控制","Veh_1.FromVCU.CAN.VCU_Power.VCU_BMS_Ctrl.VCU_Discharge_relay_control","Veh_1输入","已确认",""
"8","BMS预充状态","Veh_1.FromVCU.CAN.VCU_Body.GW_BMS_6.BMS_PrechargeContSts","Veh_1输入","候选","需DBC确认"
"8","BMS正极主接触器状态","Veh_1.FromVCU.CAN.VCU_Body.GW_BMS_6.BMS__PosBattContSts","Veh_1输入","候选","需DBC确认"
"8","BMS接触器故障","Veh_1.FromVCU.CAN.VCU_Body.GW_BMS_6.BMS__BattContFail","Veh_1输入","候选","需DBC确认"
"8","VCU故障码","Veh_1.FromVCU.CAN.VCU_Body.GW_VCU_3.VCU_Faultcode","Veh_1输入","候选",""
"9","驾驶模式","Veh_1.Driver.DriveMode","Veh_1输入","已确认",""
"9","加速踏板","Veh_1.Driver.AccPedal_perc","Veh_1输入","已确认",""
"9","制动踏板","Veh_1.Driver.BrakePedal_perc","Veh_1输入","已确认",""
"9","挡位","Veh_1.Driver.Gear_Button","Veh_1输入","已确认",""
"9","VCU目标扭矩","Veh_1.FromVCU.CAN.VCU_Power.VCU_MC_TrqCtrl.VCU_Target_output_Torque","Veh_1输入","已确认",""
"9","前后实际扭矩","Veh_1.PlantModel.PlantModel.Powertrain.FMotor.Motor.MotTrqManagement.FTrq; Veh_1.PlantModel.PlantModel.Powertrain.RMotor.Motor.MotTrqManagement.RTrq","Veh_1输出","已确认",""
"9","回馈再生扭矩","","派生量","未暴露","由扭矩符号与电流方向联合判断"
"10","DI数字输入Ch1至Ch36","Veh_1.FromVCU.HW.Digital Input.Y_DI_ChN_On_Off_Status","Veh_1输入","已确认","N=1至36"
"10","电压模拟输入Ch1至Ch24（瞬时）","Veh_1.FromVCU.HW.Voltage Input.Y_ChN_Present_Voltage","Veh_1输入","已确认","N=1至24"
"10","电压模拟输入Ch1至Ch24（平均）","Veh_1.FromVCU.HW.Voltage Input.Y_ChN_Average_Voltage","Veh_1输入","已确认","N=1至24"
"10","PWM输入Ch1至Ch60","Veh_1.FromVCU.HW.PWM Input.Y_ChN_PWM_In_Amplitude; Veh_1.FromVCU.HW.PWM Input.Y_ChN_PWM_In_Duty_Ratio; Veh_1.FromVCU.HW.PWM Input.Y_ChN_PWM_In_Frequency","Veh_1输入","已确认","N=1至60"
"10","DO数字输出Ch1至Ch36","Veh_1.ToVCU.HW.Digital Output.Digital OutputN.U_DO_ChN_Enable_Out; Veh_1.ToVCU.HW.Digital Output.Digital OutputN.U_DO_ChN_OutCmd_Out","Veh_1输出","已确认","N=1至36"
"10","PWM输出Ch1至Ch36","Veh_1.ToVCU.HW.PWM Output.PWM OutputN.U_ChN_PWM_Out_Enable_Out; Veh_1.ToVCU.HW.PWM Output.PWM OutputN.U_ChN_PWM_Out_Amplitude_Out; Veh_1.ToVCU.HW.PWM Output.PWM OutputN.U_ChN_PWM_Out_Duty_Ratio_Out; Veh_1.ToVCU.HW.PWM Output.PWM OutputN.U_ChN_PWM_Out_Frequency_Out","Veh_1输出","已确认","N=1至36"
"11","BMS_SOC","Veh_1.ToVCU.powerCAN_out.SoftBMSDataToBus.BMS_HVBusVolt_Curr.BMS_SOC_ToBus","Veh_1输出至VCU","已确认",""
"11","BMS电压电流","Veh_1.ToVCU.powerCAN_out.SoftBMSDataToBus.BMS_HVBusVolt_Curr.BMS_HVBusVolt_ToBus; Veh_1.ToVCU.powerCAN_out.SoftBMSDataToBus.BMS_HVBusVolt_Curr.BMS_HVBusCurr_ToBus","Veh_1输出至VCU","已确认",""
"11","MCU转速扭矩电流","Veh_1.ToVCU.powerCAN_out.SoftMCUDataToBus.MC_motor_Torque_AND_speed.MC_motor_speed_ToBus; Veh_1.ToVCU.powerCAN_out.SoftMCUDataToBus.MC_motor_Torque_AND_speed.MC_motor_Torque_ToBus; Veh_1.ToVCU.powerCAN_out.SoftMCUDataToBus.MC_motor_Torque_AND_speed.MC_busbar_current_ToBus","Veh_1输出至VCU","已确认",""
"11","VCU控制扭矩","Veh_1.FromVCU.CAN.VCU_Power.VCU_MC_TrqCtrl.VCU_Target_output_Torque","Veh_1输入（来自VCU）","已确认",""
"11","VCU最大扭矩","Veh_1.FromVCU.CAN.VCU_Power.VCU_MC_TrqCtrl.VCU_Target_output_MaxTorque","Veh_1输入（来自VCU）","已确认",""
"11","VCU MCU使能","Veh_1.FromVCU.CAN.VCU_Power.VCU_MC_TrqCtrl.VCU_MC_enable","Veh_1输入（来自VCU）","已确认",""
"11","CAN元数据","","总线元数据","未暴露","报文ID周期丢帧需从DBC或CAN监视器获得"
