信号,首值,末值,最小值,最大值,均值,变化次数,备注
Vehspeed,-0.145943,184.808086,-0.145943,184.808086,122.457919,375,单位未在记录配置中定义
BMS_HVBusCurr,0.001545,987.636158,-12.186586,1912.465095,832.431886,375,单位和电流方向未在记录配置中定义
MC_busbar_current,0.000808,513.419064,-6.982507,959.084544,427.772554,359,单位和电流方向未在记录配置中定义
MC_motor_speed,5.642402,14108.291389,0.001784,14108.291389,9680.781517,375,单位未在记录配置中定义
BrakeOpen1_Out,0,0,0,2,0.441489,10,与BrakeOpen2_Out全样本一致
BrakeOpen2_Out,0,0,0,2,0.441489,10,与BrakeOpen1_Out全样本一致
BRK_Main_Out,1,1,1,4,1.549596,24,等于1加0.03乘以钳位后踏板值
BRK_Auxi_Out,0.5,0.5,0.5,2,0.774798,24,等于BRK_Main_Out的一半
BrakePedal_perc,0,0,-50,150,18.319878,26,FI-01故障注入输入
AccPedal_perc,0,100,0,100,87.234043,1,9.600s后保持100%
BrakeMode,0,0,0,0,0,0,枚举定义未记录
DriveMode,0,0,0,0,0,0,枚举定义未记录
Gear_Button,0,1,0,1,0.917553,1,6.200s置1
Key,0,1,0,1,0.938830,1,4.600s置1
