信号,首值,末值,最小值,最大值,均值,变化次数,备注
AccPedal_perc,0,50,-50,150,43.133333,5,FI-02故障注入输入
Gear_Button,0,1,0,1,0.873333,1,启动阶段置1
BrakePedal_perc,100,50,0,100,21.666667,2,首段制动基线；末样本为50
DriveMode,0,0,0,0,0,0,枚举定义未记录
VCU_TqReqCmd,0,0,0,360.1,95.635333,78,来自VCU CAN的模型输入
ACC_Main_Out,1,2.5,1,4,2.284000,5,等于1加0.03乘以钳位后油门
ACC_Auxi_Out,0.5,1.25,0.5,2,1.142000,5,等于ACC_Main_Out的一半
Vehspeed,约0,39.422095,约0,152.353651,83.889193,149,单位未在记录配置中定义
FMotTrq,0,0,0,360.1,94.651310,78,前电机实际扭矩
RTrq,0,0,0,360.1,95.635333,78,后轴扭矩管理量；与VCU_TqReqCmd全样本一致
RearMotSpd,0,8.611090,-16.805954,1152.529039,612.451957,130,单位未在记录配置中定义
FrontMotSpd,0,243.020909,-12.937981,1275.622708,705.010996,130,单位未在记录配置中定义
Key,0,1,0,1,0.993333,1,启动阶段置1
