信号,最小值,最大值,均值,变化次数,备注
AccPedal_perc,0,100,83.636364,3,注入与工况输入
BrakeMode,0,0,0,0,枚举定义未记录
BrakePedal_perc,0,100,15.681818,3,注入与工况输入
DriveMode,0,0,0,0,枚举定义未记录
Gear_Button,-1,5,1.075000,17,FI-04注入接口
Key,0,1,0.906818,3,启动/复位工况
VCU_TqReqCmd,0,420,141.208636,249,扭矩请求输入
RTrq,0,420,141.208636,249,与VCU_TqReqCmd全样本一致
FTrq,0,420,139.540990,252,与前电机实际扭矩全样本一致
FMotTrq,0,420,139.540990,252,前电机实际扭矩
Vehspeed,-2.012936,182.866123,114.317978,439,单位未在记录配置中定义
RearMotSpd,-17.461916,1359.083410,840.090397,439,单位未在记录配置中定义
FrontMotSpd,-16.078789,1490.336160,954.692687,439,单位未在记录配置中定义
MCMotorTorque,0,420,139.540990,252,动力CAN扭矩输出
MCMotorSpeed,0.001564,14231.662008,9121.287315,439,单位未在记录配置中定义
MCBusCurrent,-55.642701,942.219259,349.636514,439,单位和方向未在记录配置中定义
BMSBusCurrent,-106.785058,1780.016629,673.861931,439,单位和方向未在记录配置中定义
