事件,开始时间_相对记录起点_s,结束时间_相对记录起点_s,挡位,AccPedal_起点,BrakePedal_起点,Key_起点,VCU扭矩请求_起点,VCU扭矩请求_末点,VCU扭矩请求_最大值,前轴扭矩_末点,车速_起点,车速_末点,车速_最小值,车速_最大值,判读
初始化_挡位0,0.000000,2.599998,0,0,100,0,0,0,0,0,-2.012936,-0.069216,-2.012936,-0.069216,初始制动和钥匙未就绪
初始化_挡位1,2.799996,14.199996,1,0,100,1,0,145.2,420,144.205913,-0.068437,159.939344,-0.068437,159.939344,包含制动释放和加速踏板置100
异常候选_挡位5,14.399997,19.199997,5,100,0,1,143.9,124.7,143.9,124.286892,160.849400,175.619035,160.849400,175.619035,正扭矩和车速增长
异常候选_挡位-1,19.399997,24.399996,-1,100,0,1,124.2,115.7,124.2,115.572650,176.014365,182.608821,176.014365,182.608821,正扭矩和车速增长
复位_挡位0,24.599996,35.199996,0,0,0,1,115.5,0,115.5,0,182.774963,-0.055416,-1.913083,182.866123,包含制动和钥匙状态切换
复位_挡位1,35.399996,52.799997,1,0,100,1,0,145.6,420,144.601669,0.355483,159.631494,-0.339711,159.631494,包含制动释放和加速踏板置100
稳态_挡位0,52.999996,57.999998,0,100,0,1,144.3,0,144.3,0,160.551182,129.621180,129.621180,161.341386,请求退坡且减速
稳态_挡位1_A,58.199997,62.999998,1,100,0,1,0,144.2,251.9,143.245879,128.463245,160.685503,127.906316,160.685503,请求回升且加速
稳态_挡位2,63.199997,68.200001,2,100,0,1,142.8,0,142.8,0,161.570907,130.346909,130.346909,162.321220,请求退坡且减速
稳态_挡位1_B,68.399999,73.199997,1,100,0,1,0,143.8,249.2,142.881789,129.180899,160.969099,128.647059,160.969099,请求回升且加速
稳态_挡位3,73.400002,78.399996,3,100,0,1,142.6,0,142.6,0,161.845112,130.545646,130.545646,162.587657,请求退坡且减速
稳态_挡位1_C,78.599998,83.399996,1,100,0,1,0,143.7,248.7,142.805830,129.377381,161.028294,128.839814,161.028294,请求回升且加速
短脉冲_挡位0,83.600001,83.799999,0,100,0,1,142.6,141.5,142.6,140.601199,161.901922,162.747243,161.901922,162.747243,约0.4秒短脉冲
短脉冲_挡位1,83.999998,84.999996,1,100,0,1,0,146,150.9,145.073043,163.461626,166.835173,162.525238,166.835173,约1秒恢复段
短脉冲_挡位2,85.199999,85.199999,2,100,0,1,144.6,144.6,144.6,143.695110,167.733355,167.733355,167.733355,167.733355,约0.2秒单样本脉冲
短脉冲_挡位1_2,85.399997,86.400004,1,100,0,1,0,140.7,146.7,139.713778,168.272436,170.343831,166.583179,170.343831,约1.2秒恢复段
短脉冲_挡位3,86.600004,86.600004,3,100,0,1,0,0,0,0,170.775218,170.775218,170.775218,170.775218,约0.2秒单样本脉冲
短脉冲_挡位1_3,86.799997,87.799997,1,100,0,1,0,139.4,143.9,138.563953,168.741644,171.121285,167.505235,171.121285,记录结束前恢复段
