"层级","优先级","接口名称","用途","本轮诊断价值","是否属于最小集"
"故障源","必须","Veh_1.Driver.Gear_Button","保留挡位码和短脉冲","区分0、1、2、3、5、-1的行为","是"
"关键工况","必须","Veh_1.Driver.Key","排除钥匙状态切换","主测试段保持1","是"
"关键工况","必须","Veh_1.Driver.AccPedal_perc","排除油门变化","主测试段保持100%","是"
"关键工况","必须","Veh_1.Driver.BrakePedal_perc","排除脚制动变化","主测试段保持0%","是"
"制动排除项","必须","Veh_1.ToVCU.HW.Voltage Output.Voltage Output1.BRK_Main_Out","确认是否有制动执行介入","码0/2/3切换时保持基线","是"
"VCU命令","必须","Veh_1.FromVCU.CAN.VCU_Power.VCU_MC_TrqCtrl.VCU_Target_output_Torque","观察扭矩抑制/恢复命令","码0/2/3在40至160ms内降至基线5%以下","是"
"前轴实际扭矩","必须","Veh_1.PlantModel.PlantModel.Powertrain.FMotor.Motor.MotTrqManagement.FTrq","验证前轴响应","码0/2/3在220至260ms内降至基线5%以下","是"
"后轴实际扭矩","必须","Veh_1.PlantModel.PlantModel.Powertrain.RMotor.Motor.MotTrqManagement.RTrq","验证后轴响应","静态依赖明确与Gear_Button关联","是"
"电能响应","必须","Veh_1.ToVCU.powerCAN_out.SoftMCUDataToBus.MC_motor_Torque_AND_speed.MC_busbar_current_ToBus","观察电机功率链响应","码0/2/3在220至260ms内降至基线5%以下","是"
"车辆响应","必须","Veh_1.PlantModel.PlantModel.Vehicle1.Vehspeed ","观察加速或滑行结果","码0/2/3约300至340ms后转降","是"
"实际挡位反馈","下一轮必须","Veh_1.FromVCU.CAN.VCU_Body.GW_VCU_1.VCU_GearboxPositionDisplay","建立输入码到显示挡位的映射","本轮未记录，无法解释码义","否"
"挡位执行反馈","下一轮必须","Veh_1.ToVCU.HW.Relay.Relay4.GearR_Out; Veh_1.ToVCU.HW.Relay.Relay5.GearN_Out; Veh_1.ToVCU.HW.Relay.Relay6.GearD_Out; Veh_1.ToVCU.HW.Relay.Relay7.GearP_Out","建立输入码到R/N/D/P执行输出的映射","本轮未记录，无法判断状态机接受情况","否"
"后轴转速","推荐","Veh_1.PlantModel.PlantModel.Driveline.RearMotSpd","识别驱动链切断与后轴状态","静态依赖已确认与Gear_Button关联","否"
