"事件","相对时间_s","关联接口","数值变化","相对Key边沿_ms","判读"
"第1次Key上电","5.760","Veh_1.Driver.Key; Veh_1.ToVCU.HW.Relay.Relay25.Model_Disabled_Out","Key 0→1；Model_Disabled_Out 1→2","0","上电起点"
"第1次目标状态阶段1","5.920","Veh_1.FromVCU.CAN.VCU_Power.VCU_BMS_Ctrl.VCU_BMS_target_state","7→2","160","状态码含义待确认"
"第1次充电继电器命令","6.000","Veh_1.FromVCU.CAN.VCU_Power.VCU_BMS_Ctrl.VCU_charge_relay_control","0→7","240","命令已建立"
"第1次上电完成码","6.520","VCU_BMS_target_state; VCU_Discharge_relay_control","3→4；3→4","760","仅命令侧完成"
"第1次Key下电","14.620","Veh_1.Driver.Key; Model_Disabled_Out","1→0；2→1","0","下电起点"
"第1次放电继电器撤除","14.720","Veh_1.FromVCU.CAN.VCU_Power.VCU_BMS_Ctrl.VCU_Discharge_relay_control","4→0","100","命令撤除"
"第1次充电继电器撤除","14.840","Veh_1.FromVCU.CAN.VCU_Power.VCU_BMS_Ctrl.VCU_charge_relay_control","7→0","220","命令撤除"
"第2次Key上电","17.840","Veh_1.Driver.Key; Model_Disabled_Out","0→1；1→2","0","第二次上电起点"
"BMS接触器故障置位","21.560","Veh_1.FromVCU.CAN.VCU_Body.GW_BMS_6.BMS__BattContFail","0→1","","故障窗口开始；命令侧未观察到变化"
"BMS接触器故障恢复","24.880","Veh_1.FromVCU.CAN.VCU_Body.GW_BMS_6.BMS__BattContFail","1→0","","故障窗口结束"
"第2次Key下电","28.220","Veh_1.Driver.Key; Model_Disabled_Out","1→0；2→1","0","第二次下电起点"
