注入幅值,通道,实际取值,注入变化次数,注入时刻_s,响应输出数,响应输出接口
100,Ch1,"{0, 100}",2,"7.200, 9.400",0,
100,Ch2,"{0, 100}",2,"11.600, 13.600",0,
100,Ch3,"{0, 100}",2,"15.800, 18.000",0,
100,Ch4,"{0, 100}",2,"20.200, 22.400",0,
100,Ch5,"{0, 100}",2,"24.600, 26.600",0,
100,Ch6,"{0, 100}",2,"28.800, 31.000",0,
100,Ch7,"{0, 100}",2,"33.200, 35.400",0,
100,Ch8,"{0, 100}",2,"37.600, 39.600",0,
100,Ch9,"{0, 100}",2,"41.800, 44.000",0,
100,Ch10,"{0, 100}",2,"46.200, 48.400",0,
100,Ch11,"{0, 100}",2,"50.600, 52.600",0,
100,Ch12,"{0, 100}",2,"54.800, 57.000",0,
100,Ch13,"{0, 100}",2,"59.200, 61.400",0,
100,Ch14,"{0, 100}",2,"63.600, 65.600",0,
100,Ch15,"{0, 100}",2,"67.800, 70.000",0,
100,Ch16,"{0, 100}",2,"72.200, 74.400",0,
100,Ch17,"{0, 100}",2,"76.600, 78.800",0,
100,Ch18,"{0, 100}",2,"81.200, 83.400",0,
100,Ch19,"{0, 100}",2,"85.600, 87.800",0,
100,Ch20,"{0, 100}",2,"90.000, 92.200",0,
100,Ch21,"{0, 100}",2,"94.400, 96.400",0,
100,Ch22,"{0, 100}",2,"98.600, 100.800",0,
100,Ch23,"{0, 100}",2,"103.000, 105.200",0,
100,Ch24,"{0, 100}",2,"107.400, 109.400",0,
1,Ch1,"{0, 1}",2,"9.000, 11.000",0,
1,Ch2,"{0, 1}",2,"13.200, 15.400",0,
1,Ch3,"{0, 1}",2,"17.600, 19.800",0,
1,Ch4,"{0, 1}",2,"22.000, 24.000",0,
1,Ch5,"{0, 1}",2,"26.200, 28.400",0,
1,Ch6,"{0, 1}",2,"30.600, 32.800",0,
1,Ch7,"{0, 1}",2,"35.000, 37.000",0,
1,Ch8,"{0, 1}",2,"39.200, 41.400",0,
1,Ch9,"{0, 1}",2,"43.600, 45.800",0,
1,Ch10,"{0, 1}",2,"48.000, 50.000",0,
1,Ch11,"{0, 1}",2,"52.200, 54.400",0,
1,Ch12,"{0, 1}",2,"56.600, 58.800",0,
1,Ch13,"{0, 1}",2,"61.000, 63.000",0,
1,Ch14,"{0, 1}",2,"65.200, 67.400",0,
1,Ch15,"{0, 1}",2,"69.600, 71.800",0,
1,Ch16,"{0, 1}",2,"74.000, 76.000",0,
1,Ch17,"{0, 1}",2,"78.400, 80.400",0,
1,Ch18,"{0, 1}",2,"82.600, 84.800",0,
1,Ch19,"{0, 1}",2,"87.000, 89.000",0,
1,Ch20,"{0, 1}",2,"91.400, 93.400",0,
1,Ch21,"{0, 1}",2,"95.600, 97.800",0,
1,Ch22,"{0, 1}",2,"100.000, 102.000",0,
1,Ch23,"{0, 1}",2,"104.200, 106.400",0,
1,Ch24,"{0, 1}",2,"108.600, 110.800",0,
