通道,开始时间_s,结束时间_s,注入接口,注入值,最终判定,判定依据,备注
Ch1,0.900,1.112,Y_Ch1_Average_Voltage,100,待复验,无离散故障或模式变化,与MC母线电压收敛尾段重叠
Ch2,1.334,1.544,Y_Ch2_Average_Voltage,100,未观察到响应,BMS/MC/扭矩/状态接口无同步变化,有效静态探测
Ch3,1.768,1.978,Y_Ch3_Average_Voltage,100,未观察到响应,BMS/MC/扭矩/状态接口无同步变化,有效静态探测
Ch4,2.200,2.412,Y_Ch4_Average_Voltage,100,未观察到响应,BMS/MC/扭矩/状态接口无同步变化,有效静态探测
Ch5,2.640,2.852,Y_Ch5_Average_Voltage,100,未观察到响应,BMS/MC/扭矩/状态接口无同步变化,有效静态探测
Ch6,3.074,3.286,Y_Ch6_Average_Voltage,100,未观察到响应,BMS/MC/扭矩/状态接口无同步变化,有效静态探测
Ch7,3.508,3.718,Y_Ch7_Average_Voltage,100,未观察到响应,BMS/MC/扭矩/状态接口无同步变化,有效静态探测
Ch8,3.940,4.152,Y_Ch8_Average_Voltage,100,未观察到响应,BMS/MC/扭矩/状态接口无同步变化,有效静态探测
Ch9,4.374,4.586,Y_Ch9_Average_Voltage,100,未观察到响应,BMS/MC/扭矩/状态接口无同步变化,有效静态探测
Ch10,4.808,5.030,Y_Ch10_Average_Voltage,100,未观察到响应,BMS/MC/扭矩/状态接口无同步变化,有效静态探测
Ch11,5.252,5.462,Y_Ch11_Average_Voltage,100,未观察到响应,BMS/MC/扭矩/状态接口无同步变化,有效静态探测
Ch12,5.686,5.896,Y_Ch12_Average_Voltage,100,未观察到响应,BMS/MC/扭矩/状态接口无同步变化,有效静态探测
Ch13,6.118,6.330,Y_Ch13_Average_Voltage,100,未观察到响应,BMS/MC/扭矩/状态接口无同步变化,有效静态探测
Ch14,6.552,6.764,Y_Ch14_Average_Voltage,100,未观察到响应,BMS/MC/扭矩/状态接口无同步变化,有效静态探测
Ch15,6.986,7.196,Y_Ch15_Average_Voltage,100,未观察到响应,BMS/MC/扭矩/状态接口无同步变化,有效静态探测
Ch16,7.418,7.630,Y_Ch16_Average_Voltage,100,未观察到响应,BMS/MC/扭矩/状态接口无同步变化,有效静态探测
Ch17,7.852,8.064,Y_Ch17_Average_Voltage,100,未观察到响应,BMS/MC/扭矩/状态接口无同步变化,有效静态探测
Ch18,8.286,8.496,Y_Ch18_Average_Voltage,100,未观察到响应,BMS/MC/扭矩/状态接口无同步变化,有效静态探测
Ch19,8.718,8.930,Y_Ch19_Average_Voltage,100,未观察到响应,BMS/MC/扭矩/状态接口无同步变化,有效静态探测
Ch20,9.152,9.364,Y_Ch20_Average_Voltage,100,未观察到响应,BMS/MC/扭矩/状态接口无同步变化,有效静态探测
Ch21,9.586,9.796,Y_Ch21_Average_Voltage,100,未观察到响应,BMS/MC/扭矩/状态接口无同步变化,有效静态探测
Ch22,10.018,10.230,Y_Ch22_Average_Voltage,100,未观察到响应,BMS/MC/扭矩/状态接口无同步变化,有效静态探测
Ch23,10.452,10.664,Y_Ch23_Average_Voltage,100,未观察到响应,BMS/MC/扭矩/状态接口无同步变化,有效静态探测
Ch24,10.886,11.096,Y_Ch24_Average_Voltage,100,未观察到响应,BMS/MC/扭矩/状态接口无同步变化,有效静态探测
