输出接口,最小值,最大值,总变化次数,注入后窗口内变化次数,窗口内变化时刻_s,取值摘要
env_1_Design/Veh_1/OutPort/Veh_1.PlantModel.PlantModel.Driveline.FrontMotSpd,-6.58767e-29,2.50444e-28,0,0,,min=-6.58767e-29; max=2.50444e-28; distinct=490
env_1_Design/Veh_1/OutPort/Veh_1.PlantModel.PlantModel.Driveline.RearMotSpd,-3.16194e-34,9.50008e-34,0,0,,min=-3.16194e-34; max=9.50008e-34; distinct=490
env_1_Design/Veh_1/OutPort/Veh_1.PlantModel.PlantModel.Powertrain.FMotor.Motor.MotTrq,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.PlantModel.PlantModel.Powertrain.FMotor.Motor.MotTrqManagement.FTrq,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.PlantModel.PlantModel.Powertrain.RMotor.Motor.MotTrqManagement.RTrq,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.PlantModel.PlantModel.Vehicle1.Vehspeed,0.0116341,0.0116343,0,0,,min=0.0116341; max=0.0116343; distinct=490
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC1_1.DC1_AverageTemp_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC1_1.DC1_ChargingTime_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC1_1.DC1_ChgConnectSts_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC1_1.DC1_Faultcode_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC1_1.DC1_OutputCurr_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC1_1.DC1_OutputVoltage_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC1_1.DC1_PDUSts_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC1_1.DC1_WorkingMode_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC1_1.NTC_AverageTemp_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC1_1_MsgEnable.DCDC1_1_MsgDisable,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1.DCDC_CANError_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1.DCDC_Derating_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1.DCDC_faultlevel_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1.DCDC_InputCurrent_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1.DCDC_InputVoltage_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1.DCDC_OperatingMode_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1.DCDC_OuputOpencircuit_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1.DCDC_OutCurrent_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1.DCDC_OutVoltage_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1.DCDC_OverIV_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1.DCDC_OverOC_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1.DCDC_OverOV_ToBus,0,0,0,0,,{0}
env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.bodyCAN_out.SoftDCDCDataToBus.DCDC_1.DCDC_OverTemp_ToBus,0,0,0,0,,{0}
