注入幅值,通道,实际取值,注入变化次数,注入时刻_s,响应输出数,响应输出接口
100,Ch1,"{0, 100}",2,"10.800, 12.800",0,
100,Ch2,"{0, 100}",2,"15.000, 17.200",0,
100,Ch3,"{0, 100}",2,"19.400, 21.600",0,
100,Ch4,"{0, 100}",2,"23.800, 25.800",0,
100,Ch5,"{0, 100}",2,"28.000, 30.200",0,
100,Ch6,"{0, 100}",2,"32.400, 34.600",0,
100,Ch7,"{0, 100}",2,"36.800, 38.800",0,
100,Ch8,"{0, 100}",2,"41.000, 43.200",0,
100,Ch9,"{0, 100}",2,"45.400, 47.600",0,
100,Ch10,"{0, 100}",2,"49.800, 51.800",0,
100,Ch11,"{0, 100}",2,"54.000, 56.200",0,
100,Ch12,"{0, 100}",2,"58.400, 60.600",0,
100,Ch13,"{0, 100}",2,"62.800, 64.800",0,
100,Ch14,"{0, 100}",2,"67.000, 69.200",0,
100,Ch15,"{0, 100}",2,"71.400, 73.600",0,
100,Ch16,"{0, 100}",2,"75.800, 77.800",0,
100,Ch17,"{0, 100}",2,"80.000, 82.200",0,
100,Ch18,"{0, 100}",2,"84.400, 86.600",0,
100,Ch19,"{0, 100}",2,"88.800, 90.800",0,
100,Ch20,"{0, 100}",2,"93.000, 95.200",0,
100,Ch21,"{0, 100}",2,"97.400, 99.600",0,
100,Ch22,"{0, 100}",2,"101.800, 103.800",0,
100,Ch23,"{0, 100}",2,"106.000, 108.200",0,
100,Ch24,"{0, 100}",2,"110.400, 112.600",0,
1,Ch1,"{0, 1}",2,"8.400, 10.400",0,
1,Ch2,"{0, 1}",2,"12.600, 14.800",0,
1,Ch3,"{0, 1}",2,"17.000, 19.000",0,
1,Ch4,"{0, 1}",2,"21.400, 23.400",0,
1,Ch5,"{0, 1}",2,"25.600, 27.800",0,
1,Ch6,"{0, 1}",2,"30.000, 32.000",0,
1,Ch7,"{0, 1}",2,"34.400, 36.400",0,
1,Ch8,"{0, 1}",2,"38.600, 40.800",0,
1,Ch9,"{0, 1}",2,"43.000, 45.000",0,
1,Ch10,"{0, 1}",2,"47.200, 49.400",0,
1,Ch11,"{0, 1}",2,"51.600, 53.800",0,
1,Ch12,"{0, 1}",2,"56.000, 58.000",0,
1,Ch13,"{0, 1}",2,"60.200, 62.400",0,
1,Ch14,"{0, 1}",2,"64.600, 66.800",0,
1,Ch15,"{0, 1}",2,"69.000, 71.000",0,
1,Ch16,"{0, 1}",2,"73.200, 75.400",0,
1,Ch17,"{0, 1}",2,"77.600, 79.800",0,
1,Ch18,"{0, 1}",2,"82.000, 84.000",0,
1,Ch19,"{0, 1}",2,"86.200, 88.400",0,
1,Ch20,"{0, 1}",2,"90.600, 92.800",0,
1,Ch21,"{0, 1}",2,"95.000, 97.000",0,
1,Ch22,"{0, 1}",2,"99.200, 101.400",0,
1,Ch23,"{0, 1}",2,"103.600, 105.800",0,
1,Ch24,"{0, 1}",2,"108.000, 110.000",0,
