通道,开始时间_s,结束时间_s,注入值,VCU目标扭矩_开始,VCU目标扭矩_结束,MC电机扭矩_开始,MC电机扭矩_结束,BMS母线电流_开始,BMS母线电流_结束,判定
Ch1,1.34,1.54,100,288,212,285.3646,209.1094,1575.9899,1378.0079,变化与VCU目标扭矩下降同步，未确认通道因果响应
Ch2,1.76,1.98,100,165,146,163.5331,145.6498,1190.1083,1099.3488,变化与VCU目标扭矩下降同步，未确认通道因果响应
Ch3,2.20,2.42,100,134.5,127,134.3219,126.5611,1038.3841,1010.5894,变化与VCU目标扭矩下降同步，未确认通道因果响应
Ch4,2.64,2.84,100,121.5,118,121.2264,117.8333,980.9007,965.1012,变化与VCU目标扭矩下降同步，未确认通道因果响应
Ch5,3.06,3.28,100,115.5,113.5,115.2109,113.3920,956.4169,952.8402,变化与VCU目标扭矩下降同步，未确认通道因果响应
Ch6,3.50,3.72,100,112,111.5,112.1305,111.2594,950.5748,948.8181,变化与VCU目标扭矩下降同步，未确认通道因果响应
Ch7,3.94,4.14,100,110.5,110.5,110.6562,110.2683,948.0532,947.7553,仅小幅平滑漂移，未见状态或故障响应
Ch8,4.36,4.58,100,110,110,110.0208,109.7910,948.1778,948.2896,未见可归因变化
Ch9,4.80,5.02,100,109.5,109.5,109.6377,109.5000,949.0009,949.3745,未见可归因变化
Ch10,5.24,5.46,100,109.5,109.5,109.4540,109.4000,950.5325,951.3162,未见可归因变化
