层,录波,方向,接口,最小值,最大值,变化次数,变化时刻_s,取值摘要,电压电流相关
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output18.U_Ch18_PWM_Out_Amplitude_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output18.U_Ch18_PWM_Out_Enable_Out,1,1,0,,{1},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output19.U_Ch19_PWM_Out_Frequency_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output19.U_Ch19_PWM_Out_Duty_Ratio_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output19.U_Ch19_PWM_Out_Amplitude_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output19.U_Ch19_PWM_Out_Enable_Out,1,1,0,,{1},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output2.U_Ch2_PWM_Out_Frequency_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output2.U_Ch2_PWM_Out_Duty_Ratio_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output2.U_Ch2_PWM_Out_Amplitude_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output2.U_Ch2_PWM_Out_Enable_Out,1,1,0,,{1},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output20.U_Ch20_PWM_Out_Frequency_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output20.U_Ch20_PWM_Out_Duty_Ratio_Out,0,0,0,,{0},否
Veh,average,输出,env_1_Design/Veh_1/OutPort/Veh_1.ToVCU.HW.PWM Output.PWM Output20.U_Ch20_PWM_Out_Amplitude_Out,0,0,0,,{0},否
