层,录波,方向,接口,最小值,最大值,变化次数,变化时刻_s,取值摘要,电压电流相关
net,average,输出,env_1_Design/VCU/OutPort/BCM_2.AlarmMode.valid,1,1,0,,{1},否
net,average,输出,env_1_Design/VCU/OutPort/BCM_2.Arming_Failed.raw,0,0,0,,{0},否
net,average,输出,env_1_Design/VCU/OutPort/BCM_2.Arming_Failed.valid,1,1,0,,{1},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.CLM_EAC_CompressorSpdReq,0,0,0,,{0},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.CLM_EACReq,,,0,,{OFF},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.Evaporatortemperature,-40,-40,0,,{-40},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.FaultCode2,,,0,,{正常/Startup/Default},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.FaultCode3,,,0,,{正常/Startup/Default},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.FaultCode4,,,0,,{正常/Startup/Default},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.FaultCode5,,,0,,{正常/Startup/Default},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.FaultCode6,,,0,,{正常/Startup/Default},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.FaultCode7,,,0,,{正常/Startup/Default},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.FaultCode8,,,0,,{正常/Startup/Default},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.HVAC_max_perm_ACCM_power,0,0,0,,{0},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.PTC_Temp,-40,-40,0,,{-40},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.PTCState,,,0,,{OFF/Startup},否
net,average,输入,env_1_Design/VCU/InPort/Msg_CLM_1_RxDisabled,0,0,0,,{0},否
net,average,输出,env_1_Design/VCU/OutPort/RxMsg_0x198_Count,1043,2145,551,"0.200, 0.400, 0.600, 0.800, 1.000, 1.200, 1.400, 1.600, 1.800, 2.000 …",min=1043; max=2145; distinct=552,否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.CLM_EAC_CompressorSpdReq.raw,0,0,0,,{0},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.CLM_EAC_CompressorSpdReq.valid,1,1,0,,{1},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.CLM_EACReq.raw,0,0,0,,{0},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.CLM_EACReq.valid,1,1,0,,{1},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.Evaporatortemperature.raw,0,0,0,,{0},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.Evaporatortemperature.valid,1,1,0,,{1},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.FaultCode2.raw,0,0,0,,{0},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.FaultCode2.valid,1,1,0,,{1},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.FaultCode3.raw,0,0,0,,{0},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.FaultCode3.valid,1,1,0,,{1},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.FaultCode4.raw,0,0,0,,{0},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.FaultCode4.valid,1,1,0,,{1},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.FaultCode5.raw,0,0,0,,{0},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.FaultCode5.valid,1,1,0,,{1},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.FaultCode6.raw,0,0,0,,{0},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.FaultCode6.valid,1,1,0,,{1},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.FaultCode7.raw,0,0,0,,{0},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.FaultCode7.valid,1,1,0,,{1},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.FaultCode8.raw,0,0,0,,{0},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.FaultCode8.valid,1,1,0,,{1},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.HVAC_max_perm_ACCM_power.raw,0,0,0,,{0},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.HVAC_max_perm_ACCM_power.valid,1,1,0,,{1},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.PTC_Temp.raw,0,0,0,,{0},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.PTC_Temp.valid,1,1,0,,{1},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.PTCState.raw,0,0,0,,{0},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_1.PTCState.valid,1,1,0,,{1},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_2.BlowSpeedLevelDisplaySts,,,0,,{Not Active},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_2.CirculationModeDisplaySts,,,0,,{Recirculation mode/Startup},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_2.ControlMode_Sts,,,0,,{},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_2.ModeAdjustDisplaySts,,,0,,{BlowFace},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_2.TempCirculationMode,,,0,,{OFF},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_2.TempknobRollingCounter,,,0,,{Not active},否
net,average,输出,env_1_Design/VCU/OutPort/CLM_2.WorkingSts,,,0,,{Startup/Active},否
net,average,输入,env_1_Design/VCU/InPort/Msg_CLM_2_RxDisabled,0,0,0,,{0},否
net,average,输出,env_1_Design/VCU/OutPort/RxMsg_0x51A_Count,1043,2145,551,"0.200, 0.400, 0.600, 0.800, 1.000, 1.200, 1.400, 1.600, 1.800, 2.000 …",min=1043; max=2145; distinct=552,否
net,average,输出,env_1_Design/VCU/OutPort/CLM_2.BlowSpeedLevelDisplaySts.raw,0,0,0,,{0},否
