层,录波,注入候选接口,注入取值,注入边沿数,响应候选接口,响应取值,响应总边沿数,注入后窗口内边沿数,响应时刻_s,判读
net,average,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=1.55508e-106; max=0.0104779; distinct=550,30,env_1_Design/VCU/OutPort/GW_ABS_1.VehicleSpeedVSOSig,"{0, 0.125, 0.375, 0.4375}",3,3,"1.861, 2.061, 2.261",仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=1.55508e-106; max=0.0104779; distinct=550,30,env_1_Design/VCU/OutPort/GW_ABS_1.VehicleSpeedVSOSig.raw,"{0, 2, 6, 7}",3,3,"1.861, 2.061, 2.261",仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=1.55508e-106; max=0.0104779; distinct=550,30,env_1_Design/VCU/OutPort/GW_ABS_G.VehicleSpeedVSOSig,"{0, 0.125, 0.375, 0.4375}",3,3,"1.861, 2.061, 2.261",仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=1.55508e-106; max=0.0104779; distinct=550,30,env_1_Design/VCU/OutPort/GW_ABS_G.VehicleSpeedVSOSig.raw,"{0, 2, 6, 7}",3,3,"1.861, 2.061, 2.261",仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=1.55508e-106; max=0.0104779; distinct=550,30,env_1_Design/VCU/OutPort/GW_MCU_1.MCU_MotorSpeed,"{0, 1, 9, 24, 38}",4,4,"1.936, 2.136, 2.336, 2.536",仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=1.55508e-106; max=0.0104779; distinct=550,30,env_1_Design/VCU/OutPort/GW_MCU_1.MCU_SpeedVechile,"{0, 0.1, 0.3, 0.5}",3,3,"1.936, 2.136, 2.336",仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=1.55508e-106; max=0.0104779; distinct=550,30,env_1_Design/VCU/OutPort/GW_MCU_1.MCU_MotorSpeed.raw,"{20000, 20001, 20009, 20024, 20038}",4,4,"1.936, 2.136, 2.336, 2.536",仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=1.55508e-106; max=0.0104779; distinct=550,30,env_1_Design/VCU/OutPort/GW_MCU_1.MCU_SpeedVechile.raw,"{2000, 2001, 2003, 2005}",3,3,"1.936, 2.136, 2.336",仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=1.55508e-106; max=0.0104779; distinct=550,30,env_1_Design/VCU/OutPort/GW_VCU_1.VCU_bBrakeSt,"{Braking, Not braking}",2,1,1.936,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=1.55508e-106; max=0.0104779; distinct=550,30,env_1_Design/VCU/OutPort/GW_VCU_1.VCU_bReadyLightSts,"{Lamp OFF/Startup/Default, Lamp ON}",2,1,2.736,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=1.55508e-106; max=0.0104779; distinct=550,30,env_1_Design/VCU/OutPort/GW_VCU_1.VCU_VehicleSpeedVSOSig,"{0, 0.125, 0.3125, 0.4375}",3,3,"1.936, 2.136, 2.336",仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=1.55508e-106; max=0.0104779; distinct=550,30,env_1_Design/VCU/OutPort/GW_VCU_1.VCU_bBrakeSt.raw,"{0, 1}",2,1,1.936,仅时间相邻；需重复工况验证因果
net,average,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=1.55508e-106; max=0.0104779; distinct=550,30,env_1_Design/VCU/OutPort/GW_VCU_1.VCU_bReadyLightSts.raw,"{0, 1}",2,1,2.736,仅时间相邻；需重复工况验证因果
