层,录波,注入候选接口,注入取值,注入边沿数,响应候选接口,响应取值,响应总边沿数,注入后窗口内边沿数,响应时刻_s,判读
net,others,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=3.95003e-74; max=0.0131594; distinct=385,30,env_1_Design/VCU/OutPort/GW_ABS_1.VehicleSpeedVSOSig,"{0, 0.25, 0.4375, 0.5625}",3,3,"1.875, 2.075, 2.275",仅时间相邻；需重复工况验证因果
net,others,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=3.95003e-74; max=0.0131594; distinct=385,30,env_1_Design/VCU/OutPort/GW_ABS_1.VehicleSpeedVSOSig.raw,"{0, 4, 7, 9}",3,3,"1.875, 2.075, 2.275",仅时间相邻；需重复工况验证因果
net,others,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=3.95003e-74; max=0.0131594; distinct=385,30,env_1_Design/VCU/OutPort/GW_ABS_G.VehicleSpeedVSOSig,"{0, 0.25, 0.4375, 0.5625}",3,3,"1.875, 2.075, 2.275",仅时间相邻；需重复工况验证因果
net,others,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=3.95003e-74; max=0.0131594; distinct=385,30,env_1_Design/VCU/OutPort/GW_ABS_G.VehicleSpeedVSOSig.raw,"{0, 4, 7, 9}",3,3,"1.875, 2.075, 2.275",仅时间相邻；需重复工况验证因果
net,others,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=3.95003e-74; max=0.0131594; distinct=385,30,env_1_Design/VCU/OutPort/GW_MCU_1.MCU_MotorSpeed,"{0, 3, 22, 43, 47, 48}",5,5,"1.337, 1.937, 2.137, 2.337, 2.537",仅时间相邻；需重复工况验证因果
net,others,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=3.95003e-74; max=0.0131594; distinct=385,30,env_1_Design/VCU/OutPort/GW_MCU_1.MCU_SpeedVechile,"{0, 0.3, 0.6}",2,2,"2.137, 2.337",仅时间相邻；需重复工况验证因果
net,others,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=3.95003e-74; max=0.0131594; distinct=385,30,env_1_Design/VCU/OutPort/GW_MCU_1.MCU_MotorSpeed.raw,"{20000, 20003, 20022, 20043, 20047, 20048}",5,5,"1.337, 1.937, 2.137, 2.337, 2.537",仅时间相邻；需重复工况验证因果
net,others,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=3.95003e-74; max=0.0131594; distinct=385,30,env_1_Design/VCU/OutPort/GW_MCU_1.MCU_SpeedVechile.raw,"{2000, 2003, 2006}",2,2,"2.137, 2.337",仅时间相邻；需重复工况验证因果
net,others,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=3.95003e-74; max=0.0131594; distinct=385,30,env_1_Design/VCU/OutPort/GW_VCU_1.VCU_bBrakeSt,"{Braking, Not braking}",2,1,1.937,仅时间相邻；需重复工况验证因果
net,others,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=3.95003e-74; max=0.0131594; distinct=385,30,env_1_Design/VCU/OutPort/GW_VCU_1.VCU_bReadyLightSts,"{Lamp OFF/Startup/Default, Lamp ON}",1,1,2.937,仅时间相邻；需重复工况验证因果
net,others,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=3.95003e-74; max=0.0131594; distinct=385,30,env_1_Design/VCU/OutPort/GW_VCU_1.VCU_VehicleSpeedVSOSig,"{0, 0.0625, 0.3125, 0.5625}",3,3,"2.137, 2.337, 2.537",仅时间相邻；需重复工况验证因果
net,others,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=3.95003e-74; max=0.0131594; distinct=385,30,env_1_Design/VCU/OutPort/GW_VCU_1.VCU_bBrakeSt.raw,"{0, 1}",2,1,1.937,仅时间相邻；需重复工况验证因果
net,others,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=3.95003e-74; max=0.0131594; distinct=385,30,env_1_Design/VCU/OutPort/GW_VCU_1.VCU_bReadyLightSts.raw,"{0, 1}",1,1,2.937,仅时间相邻；需重复工况验证因果
net,others,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=3.95003e-74; max=0.0131594; distinct=385,30,env_1_Design/VCU/OutPort/GW_VCU_1.VCU_VehicleSpeedVSOSig.raw,"{0, 1, 5, 9}",3,3,"2.137, 2.337, 2.537",仅时间相邻；需重复工况验证因果
