层,录波,注入候选接口,注入取值,注入边沿数,响应候选接口,响应取值,响应总边沿数,注入后窗口内边沿数,响应时刻_s,判读
net,present,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=6.62387e-107; max=0.0409445; distinct=555,35,env_1_Design/VCU/OutPort/GW_ABS_1.VehicleSpeedVSOSig,"{0, 0.125, 0.875, 1.375, 1.6875, 1.75, 1.8125, 1.875}",7,7,"0.276, 1.276, 2.476, 2.876, 3.076, 3.276, 3.476",仅时间相邻；需重复工况验证因果
net,present,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=6.62387e-107; max=0.0409445; distinct=555,35,env_1_Design/VCU/OutPort/GW_ABS_1.VehicleSpeedVSOSig.raw,"{0, 2, 14, 22, 27, 28, 29, 30}",7,7,"0.276, 1.276, 2.476, 2.876, 3.076, 3.276, 3.476",仅时间相邻；需重复工况验证因果
net,present,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=6.62387e-107; max=0.0409445; distinct=555,35,env_1_Design/VCU/OutPort/GW_ABS_G.VehicleSpeedVSOSig,"{0, 0.125, 0.875, 1.375, 1.6875, 1.75, 1.8125, 1.875}",7,7,"0.276, 1.276, 2.476, 2.876, 3.076, 3.276, 3.476",仅时间相邻；需重复工况验证因果
net,present,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=6.62387e-107; max=0.0409445; distinct=555,35,env_1_Design/VCU/OutPort/GW_ABS_G.VehicleSpeedVSOSig.raw,"{0, 2, 14, 22, 27, 28, 29, 30}",7,7,"0.276, 1.276, 2.476, 2.876, 3.076, 3.276, 3.476",仅时间相邻；需重复工况验证因果
net,present,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=6.62387e-107; max=0.0409445; distinct=555,35,env_1_Design/VCU/OutPort/GW_MCU_1.MCU_MotorSpeed,min=0; max=150; distinct=17,17,17,"0.337, 0.537, 0.737, 0.937, 1.137, 1.537, 1.737, 1.937, 2.137, 2.537 …",仅时间相邻；需重复工况验证因果
net,present,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=6.62387e-107; max=0.0409445; distinct=555,35,env_1_Design/VCU/OutPort/GW_MCU_1.MCU_SpeedVechile,"{0, 0.5, 1, 1.5, 1.7, 1.8}",5,5,"2.137, 2.937, 3.137, 3.337, 3.537",仅时间相邻；需重复工况验证因果
net,present,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=6.62387e-107; max=0.0409445; distinct=555,35,env_1_Design/VCU/OutPort/GW_MCU_1.MCU_MotorSpeed.raw,min=20000; max=20150; distinct=17,17,17,"0.337, 0.537, 0.737, 0.937, 1.137, 1.537, 1.737, 1.937, 2.137, 2.537 …",仅时间相邻；需重复工况验证因果
net,present,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=6.62387e-107; max=0.0409445; distinct=555,35,env_1_Design/VCU/OutPort/GW_MCU_1.MCU_SpeedVechile.raw,"{2000, 2005, 2010, 2015, 2017, 2018}",5,5,"2.137, 2.937, 3.137, 3.337, 3.537",仅时间相邻；需重复工况验证因果
net,present,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=6.62387e-107; max=0.0409445; distinct=555,35,env_1_Design/VCU/OutPort/GW_VCU_1.VCU_bBrakeSt,"{Braking, Not braking}",2,1,2.737,仅时间相邻；需重复工况验证因果
net,present,env_1_Design/power/InPort/BMS_HVBusVolt_Curr.BMS_HVBusCurr,min=6.62387e-107; max=0.0409445; distinct=555,35,env_1_Design/VCU/OutPort/GW_VCU_1.VCU_bReadyLightSts,"{Lamp OFF/Startup/Default, Lamp ON}",2,1,3.737,仅时间相邻；需重复工况验证因果
