"Direction","InterfaceName","DataType","Group","RefBlock","InternalSymbol","Description","Note","ItemCount"
"Input","Model_Disabled","UInt8","Model control","Veh_1/Model_Disabled","<environment wrapper>","","Model lifecycle control; inject reset, disable, or recovery scenarios.","1"
"Input","Model_Reset","UInt8","Model control","Veh_1/Model_Reset","<environment wrapper>","","Model lifecycle control; inject reset, disable, or recovery scenarios.","1"
"Input","Veh_1.Driver.AccPedal_perc","Double","Driver input","Veh_1/Driver/AccPedal_perc","Veh_1_B.VCar_Inport_k","","Driver/drive-cycle input; inject pedal, gear, or key anomalies.","1"
"Input","Veh_1.Driver.BrakeMode ","Double","Driver input","Veh_1/Driver/BrakeMode","Veh_1_B.VCar_Inport","","Driver/drive-cycle input; inject pedal, gear, or key anomalies.","1"
"Input","Veh_1.Driver.BrakePedal_perc","Double","Driver input","Veh_1/Driver/BrakePedal_perc","Veh_1_B.VCar_Inport_n","","Driver/drive-cycle input; inject pedal, gear, or key anomalies.","1"
"Input","Veh_1.Driver.DriveMode","Double","Driver input","Veh_1/Driver/DriveMode","Veh_1_B.VCar_Inport_nt","","Driver/drive-cycle input; inject pedal, gear, or key anomalies.","1"
"Input","Veh_1.Driver.Gear_Button","Double","Driver input","Veh_1/Driver/Gear_Button","Veh_1_B.VCar_Inport_n5","","Driver/drive-cycle input; inject pedal, gear, or key anomalies.","1"
"Input","Veh_1.Driver.Key","Double","Driver input","Veh_1/Driver/Key","Veh_1_B.VCar_Inport_a","","Driver/drive-cycle input; inject pedal, gear, or key anomalies.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.ABM_1.AirBagFailSts","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/ABM_1/AirBagFailSts","Veh_1_B.VCar_Inport_gg","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.ABM_1.CheckSum","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/ABM_1/CheckSum","Veh_1_B.VCar_Inport_d","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.ABM_1.CrashOutputSts","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/ABM_1/CrashOutputSts","Veh_1_B.VCar_Inport_b","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.ABM_1.DrvSeatBeltRSt","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/ABM_1/DrvSeatBeltRSt","Veh_1_B.VCar_Inport_gr","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.ABM_1.MessageCounter","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/ABM_1/MessageCounter","Veh_1_B.VCar_Inport_dg","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.ABM_1.PsngrSeatBeltWarning","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/ABM_1/PsngrSeatBeltWarning","Veh_1_B.VCar_Inport_da","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
"Input","Veh_1.FromVCU.CAN.VCU_Body.BCM_1.AlarmModeReserved","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/BCM_1/AlarmModeReserved","Veh_1_B.VCar_Inport_jj","","VCU control/status signal; inject CAN out-of-range, missing, or frozen values.","1"
