"OutputName","OutputDataType","OutputGroup","OutputRefBlock","OutputInternalSymbol","InputName","InputDataType","InputGroup","InputRefBlock","InputInternalSymbol","DependencyKind","DependencyConfidence","Explanation","FaultInjectionHint","Evidence"
"Veh_1.PlantModel.PlantModel.Driveline.FrontMotSpd","Double","Plant/state output","Veh_1/PlantModel/PlantModel/Driveline/FrontMotSpd","Veh_1_B.VCar_Outport_jrn","Veh_1.FromVCU.CAN.VCU_Body.GW_VCU_2.VCU_TqReqCmd","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/GW_VCU_2/VCU_TqReqCmd","Veh_1_B.VCar_Inport_m","Indirect input dependency","Static generated-C data flow","Plant/state output output has a generated-code data path from the VCU/CAN input input. A path does not guarantee a change in every runtime condition; state, parameters, and guards may suppress it.","After modifying this input, monitor Veh_1.PlantModel.PlantModel.Driveline.FrontMotSpd; record baseline, injected value, recovery value, and duration.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_jrn <- Veh_1_B.VCar_Inport_m"
"Veh_1.PlantModel.PlantModel.Driveline.RearMotSpd","Double","Plant/state output","Veh_1/PlantModel/PlantModel/Driveline/RearMotSpd","Veh_1_B.VCar_Outport_j0","Veh_1.Driver.BrakeMode ","Double","Driver input","Veh_1/Driver/BrakeMode","Veh_1_B.VCar_Inport","Indirect input dependency","Static generated-C data flow","Plant/state output output has a generated-code data path from the Driver input input. A path does not guarantee a change in every runtime condition; state, parameters, and guards may suppress it.","After modifying this input, monitor Veh_1.PlantModel.PlantModel.Driveline.RearMotSpd; record baseline, injected value, recovery value, and duration.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_j0 <- Veh_1_B.VCar_Inport"
"Veh_1.PlantModel.PlantModel.Driveline.RearMotSpd","Double","Plant/state output","Veh_1/PlantModel/PlantModel/Driveline/RearMotSpd","Veh_1_B.VCar_Outport_j0","Veh_1.Driver.Gear_Button","Double","Driver input","Veh_1/Driver/Gear_Button","Veh_1_B.VCar_Inport_n5","Indirect input dependency","Static generated-C data flow","Plant/state output output has a generated-code data path from the Driver input input. A path does not guarantee a change in every runtime condition; state, parameters, and guards may suppress it.","After modifying this input, monitor Veh_1.PlantModel.PlantModel.Driveline.RearMotSpd; record baseline, injected value, recovery value, and duration.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_j0 <- Veh_1_B.VCar_Inport_n5"
"Veh_1.PlantModel.PlantModel.Driveline.RearMotSpd","Double","Plant/state output","Veh_1/PlantModel/PlantModel/Driveline/RearMotSpd","Veh_1_B.VCar_Outport_j0","Veh_1.FromVCU.CAN.VCU_Body.GW_VCU_2.VCU_TqReqCmd","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/GW_VCU_2/VCU_TqReqCmd","Veh_1_B.VCar_Inport_m","Indirect input dependency","Static generated-C data flow","Plant/state output output has a generated-code data path from the VCU/CAN input input. A path does not guarantee a change in every runtime condition; state, parameters, and guards may suppress it.","After modifying this input, monitor Veh_1.PlantModel.PlantModel.Driveline.RearMotSpd; record baseline, injected value, recovery value, and duration.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_j0 <- Veh_1_B.VCar_Inport_m"
"Veh_1.PlantModel.PlantModel.Powertrain.FMotor.Motor.MotTrq","Double","Plant/state output","Veh_1/PlantModel/PlantModel/Powertrain/FMotor/Motor/MotTrq","Veh_1_B.VCar_Outport_brd","Veh_1.FromVCU.CAN.VCU_Body.GW_VCU_2.VCU_TqReqCmd","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/GW_VCU_2/VCU_TqReqCmd","Veh_1_B.VCar_Inport_m","Indirect input dependency","Static generated-C data flow","Plant/state output output has a generated-code data path from the VCU/CAN input input. A path does not guarantee a change in every runtime condition; state, parameters, and guards may suppress it.","After modifying this input, monitor Veh_1.PlantModel.PlantModel.Powertrain.FMotor.Motor.MotTrq; record baseline, injected value, recovery value, and duration.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_brd <- Veh_1_B.VCar_Inport_m"
"Veh_1.PlantModel.PlantModel.Powertrain.FMotor.Motor.MotTrqManagement.FTrq","Double","Plant/state output","Veh_1/PlantModel/PlantModel/Powertrain/FMotor/Motor/MotTrqManagement/FTrq","Veh_1_B.VCar_Outport_dx4","Veh_1.FromVCU.CAN.VCU_Body.GW_VCU_2.VCU_TqReqCmd","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/GW_VCU_2/VCU_TqReqCmd","Veh_1_B.VCar_Inport_m","Indirect input dependency","Static generated-C data flow","Plant/state output output has a generated-code data path from the VCU/CAN input input. A path does not guarantee a change in every runtime condition; state, parameters, and guards may suppress it.","After modifying this input, monitor Veh_1.PlantModel.PlantModel.Powertrain.FMotor.Motor.MotTrqManagement.FTrq; record baseline, injected value, recovery value, and duration.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_dx4 <- Veh_1_B.VCar_Inport_m"
"Veh_1.PlantModel.PlantModel.Powertrain.RMotor.Motor.MotTrqManagement.RTrq","Double","Plant/state output","Veh_1/PlantModel/PlantModel/Powertrain/RMotor/Motor/MotTrqManagement/RTrq","Veh_1_B.VCar_Outport_due","Veh_1.Driver.BrakeMode ","Double","Driver input","Veh_1/Driver/BrakeMode","Veh_1_B.VCar_Inport","Indirect input dependency","Static generated-C data flow","Plant/state output output has a generated-code data path from the Driver input input. A path does not guarantee a change in every runtime condition; state, parameters, and guards may suppress it.","After modifying this input, monitor Veh_1.PlantModel.PlantModel.Powertrain.RMotor.Motor.MotTrqManagement.RTrq; record baseline, injected value, recovery value, and duration.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_due <- Veh_1_B.VCar_Inport"
"Veh_1.PlantModel.PlantModel.Powertrain.RMotor.Motor.MotTrqManagement.RTrq","Double","Plant/state output","Veh_1/PlantModel/PlantModel/Powertrain/RMotor/Motor/MotTrqManagement/RTrq","Veh_1_B.VCar_Outport_due","Veh_1.Driver.Gear_Button","Double","Driver input","Veh_1/Driver/Gear_Button","Veh_1_B.VCar_Inport_n5","Indirect input dependency","Static generated-C data flow","Plant/state output output has a generated-code data path from the Driver input input. A path does not guarantee a change in every runtime condition; state, parameters, and guards may suppress it.","After modifying this input, monitor Veh_1.PlantModel.PlantModel.Powertrain.RMotor.Motor.MotTrqManagement.RTrq; record baseline, injected value, recovery value, and duration.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_due <- Veh_1_B.VCar_Inport_n5"
"Veh_1.PlantModel.PlantModel.Powertrain.RMotor.Motor.MotTrqManagement.RTrq","Double","Plant/state output","Veh_1/PlantModel/PlantModel/Powertrain/RMotor/Motor/MotTrqManagement/RTrq","Veh_1_B.VCar_Outport_due","Veh_1.FromVCU.CAN.VCU_Body.GW_VCU_2.VCU_TqReqCmd","Double","VCU/CAN input","Veh_1/FromVCU/CAN/VCU_Body/GW_VCU_2/VCU_TqReqCmd","Veh_1_B.VCar_Inport_m","Indirect input dependency","Static generated-C data flow","Plant/state output output has a generated-code data path from the VCU/CAN input input. A path does not guarantee a change in every runtime condition; state, parameters, and guards may suppress it.","After modifying this input, monitor Veh_1.PlantModel.PlantModel.Powertrain.RMotor.Motor.MotTrqManagement.RTrq; record baseline, injected value, recovery value, and duration.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_due <- Veh_1_B.VCar_Inport_m"
"Veh_1.PlantModel.PlantModel.Vehicle1.Vehspeed ","Double","Plant/state output","Veh_1/PlantModel/PlantModel/Vehicle1/Vehspeed","Veh_1_B.VCar_Outport_mcw","Veh_1.Driver.BrakeMode ","Double","Driver input","Veh_1/Driver/BrakeMode","Veh_1_B.VCar_Inport","Indirect input dependency","Static generated-C data flow","Plant/state output output has a generated-code data path from the Driver input input. A path does not guarantee a change in every runtime condition; state, parameters, and guards may suppress it.","After modifying this input, monitor Veh_1.PlantModel.PlantModel.Vehicle1.Vehspeed ; record baseline, injected value, recovery value, and duration.","Veh_1_code_info_extio.xml + Veh_1.c: Veh_1_B.VCar_Outport_mcw <- Veh_1_B.VCar_Inport"
